order_id,order_date,warehouse,customer_city,carrier,product_category,distance_km,weight_kg,shipping_cost_eur,sla_days,promised_delivery,actual_delivery,actual_days,status,delay_days,delay_reason,month,week,day_of_week
AMZ-01000,2024-01-01,Berlin-WAR,Berlin,Hermes,Spare Parts,0.0,11.5,6.02,1,2024-01-02,2024-01-02,1,On-Time,0,None,January,1,Monday
AMZ-01001,2024-01-01,Cologne-WAR,Duisburg,DHL,Electronics,56.2,5.1,6.67,1,2024-01-02,2024-01-02,1,On-Time,0,None,January,1,Monday
AMZ-01002,2024-01-01,Cologne-WAR,Duisburg,DPD,Networking Equipment,56.2,29.7,20.55,1,2024-01-02,2024-01-02,1,On-Time,0,None,January,1,Monday
AMZ-01003,2024-01-01,Frankfurt-WAR,Dresden,Hermes,Spare Parts,372.2,11.2,37.24,2,2024-01-03,2024-01-02,1,On-Time,0,None,January,1,Monday
AMZ-01004,2024-01-01,Berlin-WAR,Hannover,Hermes,Storage Devices,249.3,13.6,24.3,2,2024-01-03,2024-01-03,2,On-Time,0,None,January,1,Monday
AMZ-01005,2024-01-01,Frankfurt-WAR,Munich,FedEx,Hardware,304.1,41.6,46.2,2,2024-01-03,2024-01-03,2,On-Time,0,None,January,1,Monday
AMZ-01006,2024-01-01,Berlin-WAR,Hamburg,DPD,Hardware,254.5,49.3,48.21,2,2024-01-03,2024-01-02,1,On-Time,0,None,January,1,Monday
AMZ-01007,2024-01-01,Munich-WAR,Bochum,Hermes,Spare Parts,485.4,18.8,45.43,3,2024-01-04,2024-01-04,3,On-Time,0,None,January,1,Monday
AMZ-01008,2024-01-01,Cologne-WAR,Stuttgart,FedEx,Cables & Accessories,288.1,12.6,29.13,2,2024-01-03,2024-01-03,2,On-Time,0,None,January,1,Monday
AMZ-01009,2024-01-01,Munich-WAR,Hamburg,DPD,Electronics,611.7,40.3,67.72,3,2024-01-04,2024-01-04,3,On-Time,0,None,January,1,Monday
AMZ-01010,2024-01-01,Hamburg-WAR,Wuppertal,UPS,Cables & Accessories,317.1,23.2,35.23,2,2024-01-03,2024-01-03,2,On-Time,0,None,January,1,Monday
AMZ-01011,2024-01-01,Cologne-WAR,Duisburg,FedEx,Networking Equipment,56.2,18.4,15.06,1,2024-01-02,2024-01-02,1,On-Time,0,None,January,1,Monday
AMZ-01012,2024-01-01,Berlin-WAR,Hamburg,DHL,Spare Parts,254.5,31.6,38.27,2,2024-01-03,2024-01-03,2,On-Time,0,None,January,1,Monday
AMZ-01013,2024-01-01,Frankfurt-WAR,Nuremberg,FedEx,Networking Equipment,187.3,26.7,31.0,2,2024-01-03,2024-01-03,2,On-Time,0,None,January,1,Monday
